state,district,year,residualsodiumcarbonate
Assam,Dibrugarh,2013,0.99199998
Assam,Dibrugarh,2014,-0.36666667
Assam,Dibrugarh,2016,0.0
Assam,Dibrugarh,2017,-1.03
Assam,Dibrugarh,2018,-3.0367022
Assam,Goalpara,2005,0.07333333
Assam,Goalpara,2006,0.12
Assam,Goalpara,2007,1.8666667
Assam,Goalpara,2008,2.3199999
Assam,Goalpara,2009,4.6599998
Assam,Goalpara,2014,-1.1314286
Assam,Goalpara,2015,0.41999999
Assam,Goalpara,2016,0.0
Assam,Goalpara,2018,-0.46822402
Assam,Golaghat,2005,0.21000001
Assam,Golaghat,2006,8.6199999
Assam,Golaghat,2007,0.059999999
Assam,Golaghat,2008,0.23999999
Assam,Golaghat,2011,2.6800001
Assam,Golaghat,2012,2.78
Assam,Golaghat,2013,0.75999999
Assam,Golaghat,2014,-1.8
Assam,Golaghat,2015,1.332
Assam,Golaghat,2016,0.0
Assam,Golaghat,2018,-2.5904965
Assam,Hailakandi,2007,1.14
Assam,Hailakandi,2015,-0.54000002
Assam,Hailakandi,2016,0.0
Assam,Hailakandi,2017,1.2966666
Assam,Hailakandi,2018,-1.4559274
Assam,Jorhat,2006,0.60000002
Assam,Jorhat,2007,0.12
Assam,Jorhat,2014,1.1899999
Assam,Jorhat,2015,1.24
Assam,Jorhat,2016,0.0
Assam,Jorhat,2018,-2.5229695
Assam,Kamrup Metropolitan,2005,0.40000001
Assam,Kamrup Metropolitan,2006,0.039999999
Assam,Kamrup Metropolitan,2007,0.18000001
Assam,Kamrup Metropolitan,2008,0.75999999
Assam,Kamrup Metropolitan,2010,0.51999998
Assam,Kamrup Metropolitan,2014,-1.4875001
Assam,Kamrup Metropolitan,2015,-1.4485714
Assam,Kamrup Metropolitan,2016,0.0
Assam,Kamrup Metropolitan,2017,-2.73
Assam,Kamrup Metropolitan,2018,-1.2184283
Assam,Kamrup,2005,0.95599997
Assam,Kamrup,2006,1.04
Assam,Kamrup,2007,2.1559999
Assam,Kamrup,2008,1.7550001
Assam,Kamrup,2009,0.039999999
Assam,Kamrup,2010,0.14999999
Assam,Kamrup,2011,0.68000001
Assam,Kamrup,2012,0.63999999
Assam,Kamrup,2013,0.49333334
Assam,Kamrup,2014,-0.87111109
Assam,Kamrup,2015,1.22
Assam,Kamrup,2016,0.0
Assam,Kamrup,2018,-1.5104682
Assam,Karbi Anglong,2005,0.65000004
Assam,Karbi Anglong,2006,3.5450001
Assam,Karbi Anglong,2007,0.43333334
Assam,Karbi Anglong,2008,6.2349997
Assam,Karbi Anglong,2009,0.40000001
Assam,Karbi Anglong,2011,1.8000001
Assam,Karbi Anglong,2012,1.22
Assam,Karbi Anglong,2014,-0.24235293
Assam,Karbi Anglong,2015,0.602
Assam,Karbi Anglong,2016,0.0
Assam,Karbi Anglong,2017,5.2121067
Assam,Karbi Anglong,2018,-1.9422753
Assam,Karimganj,2007,0.18000001
Assam,Karimganj,2008,0.18000001
Assam,Karimganj,2009,0.64999998
Assam,Karimganj,2010,0.14
Assam,Karimganj,2013,0.14
Assam,Karimganj,2014,-1.5
Assam,Karimganj,2015,-0.90799999
Assam,Karimganj,2017,0.29333332
Assam,Karimganj,2018,-3.3697867
Assam,Kokrajhar,2005,0.02
Assam,Kokrajhar,2006,0.34999999
Assam,Kokrajhar,2007,0.27000001
Assam,Kokrajhar,2014,-0.55000001
Assam,Kokrajhar,2015,-1.1
Assam,Kokrajhar,2016,0.0
Assam,Lakhimpur,2005,0.60666668
